iter	Logloss
0	0.6927847934
1	0.6924657446
2	0.6920897504
3	0.6918010286
4	0.6915387447
5	0.6912378094
6	0.690983115
7	0.6907080453
8	0.6904530306
9	0.6901796006
10	0.6899065103
11	0.6895497434
12	0.689326094
13	0.6890369083
14	0.6887590178
15	0.6885193395
16	0.6883272269
17	0.6880988015
18	0.6878177793
19	0.6875914397
20	0.6873882342
21	0.6871665525
22	0.6868766382
23	0.6866436626
24	0.686425776
25	0.686179927
26	0.6859660761
27	0.6857646199
28	0.685551116
29	0.6853813904
30	0.6851218652
31	0.6849169806
32	0.6847658845
33	0.6845188363
34	0.6842786114
35	0.6840995489
36	0.6839105903
37	0.6837209684
38	0.6835287388
39	0.683384121
40	0.6831932703
41	0.6830146687
42	0.6828238788
43	0.6826843638
44	0.682498203
45	0.6823769014
46	0.6822151809
47	0.6820959715
48	0.6819689994
49	0.6818285602
50	0.6816862125
51	0.6815448733
52	0.6814381689
53	0.681346004
54	0.6812024181
55	0.6810716395
56	0.6809266117
57	0.680806345
58	0.6807038458
59	0.6805738873
60	0.6804023592
61	0.6802356121
62	0.6801006375
63	0.6799746338
64	0.6798888879
65	0.6798060943
66	0.6797126749
67	0.6796104861
68	0.6794673375
69	0.6793651967
70	0.6792291891
71	0.6791119613
72	0.6789993866
73	0.6789089646
74	0.6787697668
75	0.6786562439
76	0.6785920261
77	0.678483058
78	0.6784076946
79	0.6783304344
80	0.6782276448
81	0.678124685
82	0.6780620769
83	0.6779489464
84	0.6778659423
85	0.6777504586
86	0.6776643597
87	0.6775979541
88	0.6775357229
89	0.6774826147
90	0.6773888026
91	0.6772983314
92	0.6772113625
93	0.6771406862
94	0.6770476813
95	0.6769618866
96	0.6768926213
97	0.6768334575
98	0.6767338112
99	0.6766499527
100	0.6765988123
101	0.6765193866
102	0.676475532
103	0.6764017666
104	0.6763511378
105	0.6762764831
106	0.67617867
107	0.6761131652
108	0.6760536037
109	0.6759822639
110	0.6759273813
111	0.67586909
112	0.6758001568
113	0.6757377211
114	0.6756496474
115	0.6755826493
116	0.6755019004
117	0.6754635345
118	0.6753963681
119	0.6753256537
120	0.6752466818
121	0.6751850601
122	0.6751259936
123	0.6750498273
124	0.6750004444
125	0.6749242781
126	0.6748540291
127	0.6747866125
128	0.6747141567
129	0.6746368079
130	0.6745823782
131	0.674530071
132	0.6744684901
133	0.6744342069
134	0.6743702064
135	0.6743056038
136	0.674236639
137	0.6741657927
138	0.6741210901
139	0.6740633444
140	0.6739860506
141	0.6739389455
142	0.6739069654
143	0.6738343767
144	0.6737988193
145	0.6737552314
146	0.6737064434
147	0.6736355081
148	0.6735726744
149	0.6735338308
150	0.6734705672
151	0.6734271105
152	0.6733860026
153	0.6733225636
154	0.6732785025
155	0.6732382094
156	0.6731907926
157	0.6731249874
158	0.6730642685
159	0.6730266333
160	0.6729853526
161	0.6729261099
162	0.6728841806
163	0.6728466554
164	0.672798865
165	0.6727361859
166	0.6726950147
167	0.6726394874
168	0.6726020201
169	0.6725506208
170	0.6725005316
171	0.6724384358
172	0.6723728117
173	0.6723374855
174	0.6722950207
175	0.6722495997
176	0.6722038076
177	0.6721690182
178	0.6720997236
179	0.6720608382
180	0.6720110928
181	0.6719564394
182	0.6718963494
183	0.6718315391
184	0.6717720425
185	0.6717349256
186	0.6716839919
187	0.6716466559
188	0.6716038742
189	0.6715515205
190	0.6715044882
191	0.6714488184
192	0.6714050818
193	0.6713582771
194	0.6713270546
195	0.6712742269
196	0.671250823
197	0.6712039551
198	0.6711692677
199	0.671123579
200	0.6710804974
201	0.6710551139
202	0.6710329598
203	0.6710081814
204	0.6709568294
205	0.6709188753
206	0.6708786974
207	0.670836857
208	0.6708165402
209	0.6707913173
210	0.670742908
211	0.6707078481
212	0.6706665827
213	0.6706240302
214	0.6705733784
215	0.6705336464
216	0.6704870731
217	0.6704299803
218	0.6703860063
219	0.670331627
220	0.6702834504
221	0.6702317349
222	0.6701728156
223	0.6701476584
224	0.6701142999
225	0.6700730341
226	0.6700533852
227	0.6699962328
228	0.6699408524
229	0.6698970412
230	0.669863387
231	0.6698239493
232	0.6697944512
233	0.6697415458
234	0.6696946684
235	0.6696473151
236	0.6696104706
237	0.6695623409
238	0.6695369214
239	0.6694959396
240	0.6694587994
241	0.669430411
242	0.669390333
243	0.6693425048
244	0.6693049542
245	0.6692577812
246	0.6692299091
247	0.6691849156
248	0.6691383298
249	0.6691004755
250	0.6690664193
251	0.6690268725
252	0.6689849481
253	0.66893582
254	0.6688954256
255	0.6688589443
256	0.6688258832
257	0.6687843726
258	0.6687433899
259	0.6687034086
260	0.6686736084
261	0.6686333405
262	0.6685952462
263	0.6685560948
264	0.6685317294
265	0.6684929539
266	0.6684467785
267	0.6684344134
268	0.6684144688
269	0.6683818807
270	0.6683365945
271	0.6683003344
272	0.6682601814
273	0.6682294057
274	0.6681864117
275	0.6681548302
276	0.668131196
277	0.6680924609
278	0.6680535548
279	0.6680117507
280	0.6679729475
281	0.6679374552
282	0.667918394
283	0.6678810799
284	0.6678438655
285	0.6677895417
286	0.6677616784
287	0.667736179
288	0.6677140704
289	0.6676878958
290	0.66766738
291	0.6676414571
292	0.6676141197
293	0.6675890614
